Experiment.thisRepN,Experiment.thisTrialN,Experiment.thisN,Experiment.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,text_2.started,text_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text.started,text.stopped,text_3.started,text_3.stopped,Checkerboard.started,Checkerboard.stopped,Checkerboard2.started,Checkerboard2.stopped,participant,date,expName,psychopyVersion,frameRate,
4,0,4,0,9,0,9,0,,,,,,,,,,,146.7956312999595,147.3954477000516,147.37869890010916,146.7956312999595,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
4,0,4,0,,,,,,,,,,,,,,,,,,,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
5,0,5,0,0,0,0,0,,,,,,,147.97892919997685,None,162.97823040001094,None,163.47843670006841,164.07807930000126,164.06154779996723,None,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
5,0,5,0,1,0,1,0,,,,,,,,,,,164.6612246001605,165.26188910007477,165.24482010002248,164.6612246001605,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
5,0,5,0,2,0,2,0,,,,,,,,,,,165.844497699989,166.44452599994838,166.42797720013186,165.844497699989,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
5,0,5,0,3,0,3,0,,,,,,,,,,,167.0287371999584,167.627672099974,167.61122710001655,167.0287371999584,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
5,0,5,0,4,0,4,0,,,,,,,,,,,168.21117960009724,168.8112198000308,168.79478100012057,168.21117960009724,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
5,0,5,0,5,0,5,0,,,,,,,,,,,169.3941991000902,169.99436100013554,169.97749330010265,169.3941991000902,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
5,0,5,0,6,0,6,0,,,,,,,,,,,170.57755249994807,171.1782234001439,171.16109100007452,170.57755249994807,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
5,0,5,0,7,0,7,0,,,,,,,,,,,171.76097559998743,172.36101410002448,172.34411179996096,171.76097559998743,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
5,0,5,0,8,0,8,0,,,,,,,,,,,172.94436160009354,173.54450189997442,173.52746569993906,172.94436160009354,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
5,0,5,0,9,0,9,0,,,,,,,,,,,174.12748100003228,174.72761219996028,174.7107696000021,174.12748100003228,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
5,0,5,0,,,,,,,,,,,,,,,,,,,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
6,0,6,0,0,0,0,0,,,,,,,175.31110260006972,None,190.310028700158,None,190.81009869999252,191.41030899994075,191.393542899983,None,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
6,0,6,0,1,0,1,0,,,,,,,,,,,191.99315450014547,192.5932406000793,192.57681090012193,191.99315450014547,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
6,0,6,0,2,0,2,0,,,,,,,,,,,193.17665020003915,193.77685860008933,193.76016840012744,193.17665020003915,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
6,0,6,0,3,0,3,0,,,,,,,,,,,194.35967419994995,194.9599502000492,194.94310100004077,194.35967419994995,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
6,0,6,0,4,0,4,0,,,,,,,,,,,195.54296520003118,196.14325279998593,196.1266256000381,195.54296520003118,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
6,0,6,0,5,0,5,0,,,,,,,,,,,196.7263581000734,197.32631770009175,197.30971370008774,196.7263581000734,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
6,0,6,0,6,0,6,0,,,,,,,,,,,197.90960040013306,198.50976660009474,198.49288749997504,197.90960040013306,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
6,0,6,0,7,0,7,0,,,,,,,,,,,199.0929599001538,199.69298049993813,199.67646550014615,199.0929599001538,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
6,0,6,0,8,0,8,0,,,,,,,,,,,200.2767717000097,200.87618280015886,200.85970690008253,200.2767717000097,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
6,0,6,0,9,0,9,0,,,,,,,,,,,201.45967580005527,202.05948260007426,202.04282720014453,201.45967580005527,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
6,0,6,0,,,,,,,,,,,,,,,,,,,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
7,0,7,0,0,0,0,0,,,,,,,202.64269650005735,None,217.64197520003654,None,218.14198060007766,218.74220570013858,218.7256752999965,None,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
7,0,7,0,1,0,1,0,,,,,,,,,,,219.3253016001545,219.92553370003588,219.90869740000926,219.3253016001545,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
7,0,7,0,2,0,2,0,,,,,,,,,,,220.5083825001493,221.1090005999431,221.09198200004175,220.5083825001493,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
7,0,7,0,3,0,3,0,,,,,,,,,,,221.69185089995153,222.29193189996295,222.27540950011462,221.69185089995153,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
7,0,7,0,4,0,4,0,,,,,,,,,,,222.8751586000435,223.47516390006058,223.45875230012462,222.8751586000435,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
7,0,7,0,5,0,5,0,,,,,,,,,,,224.05858430010267,224.65864030015655,224.6418894000817,224.05858430010267,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
7,0,7,0,6,0,6,0,,,,,,,,,,,225.24156620004214,225.84145370009355,225.82493400014937,225.24156620004214,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
7,0,7,0,7,0,7,0,,,,,,,,,,,226.4248703001067,227.02504640002735,227.00834250007756,226.4248703001067,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
7,0,7,0,8,0,8,0,,,,,,,,,,,227.60849350015633,228.20828260015696,228.19149410002865,227.60849350015633,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
7,0,7,0,9,0,9,0,,,,,,,,,,,228.79131290013902,229.39162420015782,229.37471030000597,228.79131290013902,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
7,0,7,0,,,,,,,,,,,,,,,,,,,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
8,0,8,0,0,0,0,0,,,,,,,229.97468900005333,None,244.9742495000828,None,245.47398430015892,246.0745204000268,246.05727230012417,None,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
8,0,8,0,1,0,1,0,,,,,,,,,,,246.65725159994327,247.25727519998327,247.24078400013968,246.65725159994327,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
8,0,8,0,2,0,2,0,,,,,,,,,,,247.8404777001124,248.44102070014924,248.42404330009595,247.8404777001124,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
8,0,8,0,3,0,3,0,,,,,,,,,,,249.02366970013827,249.62389839999378,249.60737260011956,249.02366970013827,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
8,0,8,0,4,0,4,0,,,,,,,,,,,250.2071369001642,250.80728820012882,250.7905604999978,250.2071369001642,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
8,0,8,0,5,0,5,0,,,,,,,,,,,251.3916595999617,252.00692360009998,251.97391670010984,251.3916595999617,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
8,0,8,0,6,0,6,0,,,,,,,,,,,252.57359199994244,253.17362260003574,253.1568779000081,252.57359199994244,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
8,0,8,0,7,0,7,0,,,,,,,,,,,253.75714750005864,254.35712240007706,254.34014320001006,253.75714750005864,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
8,0,8,0,8,0,8,0,,,,,,,,,,,254.9406721999403,255.54022149997763,255.52350979996845,254.9406721999403,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
8,0,8,0,9,0,9,0,,,,,,,,,,,256.1239918000065,256.72372639994137,256.7070520000998,256.1239918000065,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
8,0,8,0,,,,,,,,,,,,,,,,,,,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
9,0,9,0,0,0,0,0,,,,,,,257.3070251001045,None,272.30630729999393,None,272.80621260008775,273.4061664000619,273.3894885000773,None,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
9,0,9,0,1,0,1,0,,,,,,,,,,,273.9893090000842,274.590161500033,274.57259070011787,273.9893090000842,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
9,0,9,0,2,0,2,0,,,,,,,,,,,275.1727035001386,275.7724659999367,275.7560235001147,275.1727035001386,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
9,0,9,0,3,0,3,0,,,,,,,,,,,276.35615579993464,276.95607260009274,276.939197700005,276.35615579993464,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
9,0,9,0,4,0,4,0,,,,,,,,,,,277.5392845000606,278.1395205000881,278.1225664000958,277.5392845000606,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
9,0,9,0,5,0,5,0,,,,,,,,,,,278.72267789999023,279.32234019995667,279.3059770001564,278.72267789999023,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
9,0,9,0,6,0,6,0,,,,,,,,,,,279.9056210999843,280.50586959999055,280.48896130011417,279.9056210999843,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
9,0,9,0,7,0,7,0,,,,,,,,,,,281.08896240009926,281.6887990999967,281.6723705001641,281.08896240009926,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
9,0,9,0,8,0,8,0,,,,,,,,,,,282.2725812001154,282.87241760012694,282.8555825999938,282.2725812001154,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
9,0,9,0,9,0,9,0,,,,,,,,,,,283.4556364000309,284.05557380011305,284.0392720999662,283.4556364000309,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
9,0,9,0,,,,,,,,,,,,,,,,,,,XXX,2022_Mar_07_1636,Checkerboard,2021.2.0,59.842399056045075,
